Technique,ID,Tactic-Name,Technique-Name,SubTechnique-Name,Platforms,Description,id
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS","Maze has used the ""WNetOpenEnumW"", ""WNetEnumResourceW"", ""WNetCloseEnum"" and ""WNetAddConnection2W"" functions to enumerate the network resources on the infected machine.",T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS","After loading the keyword and phone data files, MESSAGETAP begins monitoring all network connections to and from the victim server. ",T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",MuddyWater has used a PowerShell backdoor to check for Skype connections on the target machine.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Mustang Panda has used netstat -ano to determine network connection information.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Commands such as net use and net session can be used in Net to gather information about network connections from a particular host.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",NETWIRE can capture session logon details from a compromised host.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",OilRig has used netstat -an on a victim to get a listing of network connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Okrum was seen using NetSess to discover NetBIOS sessions.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS","During Operation CuckooBees, the threat actors used the net session, net use, and netstat commands as part of their advanced reconnaissance.",T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS","During Operation Wocao, threat actors collected a list of open connections on the infected system using netstat and checks whether it has an internet connection.",T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS","Once inside a Virtual Private Cloud, Pacu can attempt to identify DirectConnect, VPN, or VPC Peering.",T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",PyDCrypt has used netsh to find RPC connections on remote machines.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",QakBot can use netstat to enumerate current network connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Ramsay can use netstat to enumerate network connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",RedLeaves can enumerate drives and Remote Desktop sessions.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Remsec can obtain a list of active connections and open ports.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Sardonic has the ability to execute the netstat command.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",ShimRatReporter used the Windows function GetExtendedUdpTable to detect connected UDP endpoints.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",SHOTPUT uses netstat to list TCP connection status.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Sibot has retrieved a GUID associated with a present LAN connection on a compromised machine.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Sliver can collect network connection information.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",SpeakUp uses the arp -a command.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Threat Group-3390 has used net use and netstat to conduct internal discovery of systems. The group has also used quser.exe to identify existing RDP sessions on a victim.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Torisma can use WTSEnumerateSessionsW to monitor remote desktop connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Trojan.Karagany can use netstat to collect a list of network connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Tropic Trooper has tested if the localhost network is available and other connection capability on an infected system using command scripts.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS","Turla surveys a system upon check-in to discover active local network connections using the netstat -an, net use, net file, and net session commands.",T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",USBferry can use netstat and nbtstat to detect active network connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Volgmer can gather information about TCP connection state.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Volt Typhoon has used netstat -ano on compromised hosts to enumerate network connections.,T1049
T1049,No sub-Techniques,Discovery,System Network Connections Discovery,No sub-Technique,"IaaS, Linux, Network, Windows, macOS",Waterbear can use API hooks on GetExtendedTcpTable to retrieve a table containing a list of TCP endpoints available to the application.,T1049
T1610,No sub-Techniques," Defense Evasion, Execution",Deploy Container,No sub-Technique,Containers,Doki was run through a deployed container.,T1610
T1610,No sub-Techniques," Defense Evasion, Execution",Deploy Container,No sub-Technique,Containers,Kinsing was run through a deployed Ubuntu container.,T1610
T1610,No sub-Techniques," Defense Evasion, Execution",Deploy Container,No sub-Technique,Containers,TeamTNT has deployed different types of containers into victim environments to facilitate execution.,T1610
T1185,No sub-Techniques,Collection,Browser Session Hijacking,No sub-Technique,Windows,Agent Tesla has the ability to use form-grabbing to extract data from web data forms.,T1185
T1185,No sub-Techniques,Collection,Browser Session Hijacking,No sub-Technique,Windows,Chaes has used the Puppeteer module to hook and monitor the Chrome web browser to collect user information from infected hosts.,T1185
T1185,No sub-Techniques,Collection,Browser Session Hijacking,No sub-Technique,Windows,"Cobalt Strike can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates.",T1185
T1185,No sub-Techniques,Collection,Browser Session Hijacking,No sub-Technique,Windows,"Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.",T1185
T1185,No sub-Techniques,Collection,Browser Session Hijacking,No sub-Technique,Windows,TrickBot uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page.,T1185
T1185,No sub-Techniques,Collection,Browser Session Hijacking,No sub-Technique,Windows,Ursnif has injected HTML codes into banking sites to steal sensitive online banking information (ex: usernames and passwords).,T1185
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"During the 2015 Ukraine Electric Power Attack, Sandworm Team modified in-registry Internet settings to lower internet security before launching rundll32.exe, which in-turn launches the malware and communicates with C2 servers over the Internet. ",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,AADInternals can modify registry keys as part of setting a new pass-through authentication agent.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Agent Tesla can achieve persistence by modifying Registry key entries.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Amadey has overwritten registry keys for persistence.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,APT19 uses a Port 22 malware variant to modify several Registry keys.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,APT32's backdoor has modified the Windows Registry to store the backdoor's configuration.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,APT38 uses a tool called CLEANTOAD that has the capability to modify Registry keys.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,APT41 used a malware variant called GOODLUCK to modify the registry in order to steal credentials.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Attor's dispatcher can modify the Run registry key.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"BACKSPACE is capable of deleting Registry keys, sub-keys, and values on a victim system.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Bankshot writes data into the Registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Pniumj.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,BitPaymer can set values in the Registry to help in execution.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,BlackCat has the ability to add the following registry key on compromised networks to maintain persistence: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services \LanmanServer\Paramenters,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Blue Mockingbird has used Windows Registry modifications to specify a DLL payload.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Cardinal RAT sets HKCU\Software\Microsoft\Windows NT\CurrentVersion\Windows\Load to point to its executable.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Caterpillar WebShell has a command to modify a Registry key.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Chaes can modify Registry values to stored information and establish persistence.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,CharmPower can remove persistence-related artifacts from the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Clop can make modifications to Registry keys.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Cobalt Strike can modify Registry values within HKEY_CURRENT_USER\Software\Microsoft\Office\\Excel\Security\AccessVBOM\ to enable the execution of additional code.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Conficker adds keys to the Registry at HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services and various other Registry locations.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,CrackMapExec can create a registry key using wdigest.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Crimson can set a Registry key to determine how long it has been installed and possibly to indicate the version number.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"DarkComet adds a Registry value for its installation routine to the Registry Key HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\System Enable LUA=""0"" and HKEY_CURRENT_USER\Software\DC3_FEXEC.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"Earth Lusca modified the registry using the command reg add ""HKEY_CURRENT_USER\Environment"" /v UserInitMprLogonScript /t REG_SZ /d """,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Ember Bear has used an open source batch script to modify Windows Defender registry keys.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,EVILNUM can make modifications to the Regsitry for persistence.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Exaramel for Windows adds the configuration to the Registry in XML format.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Explosive has a function to write itself to Registry values.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,FELIXROOT deletes the Registry key HKCU\Software\Classes\Applications\rundll32.exe\shell\open.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,FIN8 has deleted Registry keys during post compromise cleanup activities.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Gamaredon Group has removed security settings for VBA macro execution by changing registry values HKCU\Software\Microsoft\Office\<version>\<product>\Security\VBAWarnings and HKCU\Software\Microsoft\Office\<version>\<product>\Security\AccessVBOM.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Gelsemium can modify the Registry to store its components.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,gh0st RAT has altered the InstallTime subkey.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Gorgon Group malware can deactivate security mechanisms in Microsoft Office by editing several keys and values under HKCU\Software\Microsoft\Office\.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,GreyEnergy modifies conditions in the Registry and adds keys.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"HermeticWiper has the ability to modify Registry keys to disable crash dumps, colors for compressed files, and pop-up information about folders and desktop items.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,HOPLIGHT has modified Managed Object Format (MOF) files within the Registry to run specific commands and create persistence on the system.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"Hydraq creates a Registry subkey to register its created service, and can also uninstall itself later by deleting this value. Hydraq's backdoor also enables remote attackers to modify and delete subkeys.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,HyperStack can add the name of its communication pipe to HKLM\SYSTEM\CurrentControlSet\Services\lanmanserver\parameters\NullSessionPipes.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"InvisiMole has a command to create, set, copy, or delete a specified Registry key or value.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,KEYMARBLE has a command to create Registry entries for storing data under HKEY_CURRENT_USER\SOFTWARE\Microsoft\WABE\DataPath.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Kimsuky has modified Registry settings for default file associations to enable all macros and for persistence.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,KOCTOPUS has added and deleted keys from the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"KONNI has modified registry keys of ComSysApp, Svchost, and xmlProv on the machine to gain persistence.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,LoJax has modified the Registry key ‘HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager\BootExecute’ from ‘autocheck autochk ’ to ‘autocheck autoche ’.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Lokibot has modified the Registry as part of its UAC bypass process.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Magic Hound has modified Registry settings for security tools.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,MegaCortex has added entries to the Registry for ransom contact information.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,metaMain can write the process ID of a target process into the HKEY_LOCAL_MACHINE\SOFTWARE\DDE\tpid Registry value as part of its reflective loading activity.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"Metamorfo has written process names to the Registry, disabled IE browser features, deleted Registry keys, and changed the ExtendedUIHoverTime key.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Mosquito can modify Registry keys under HKCU\Software\Microsoft,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Naid creates Registry entries that store information about a created service and point to a malicious DLL dropped to disk.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Nerex creates a Registry subkey that registers a new service.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,NETWIRE can modify the Registry to store its configuration information.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"During Night Dragon, threat actors used zwShell to establish full remote control of the connected machine and manipulate the Registry.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,NightClub can modify the Registry to set the ServiceDLL for a service created by the malware for persistence.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"njRAT can create, delete, or modify a specified Registry key or value.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"During Operation Honeybee, the threat actors used batch files that modified registry keys.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"During Operation Wocao, the threat actors enabled Wdigest by changing the HKLM\SYSTEM\\ControlSet001\\Control\\SecurityProviders\\WDigest registry value from 0 (disabled) to 1 (enabled).",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Pandora can write an encrypted token to the Registry to enable processing of remote commands.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,PHOREAL is capable of manipulating the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,PLAINTEE uses reg add to add a Registry Run key for persistence.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,PoetRAT has made registry modifications to alter its behavior upon execution.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,PolyglotDuke can write encrypted JSON configuration files to the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,QakBot can modify the Registry to store its configuration information in a randomly named subkey under HKCU\Software\Microsoft.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,RCSession can write its configuration file to the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Reg may be used to interact with and modify the Windows Registry of a local or remote system at the command-line interface.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"Remcos has full control of the Registry, including the ability to modify it.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,REvil can modify the Registry to save encryption parameters and system information.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,ROKRAT can modify the HKEY_CURRENT_USER\Software\Microsoft\Office\ registry key so it can bypass the VB object model (VBOM) on a compromised host.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,ShimRat has registered two registry keys for shim databases.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"Silence can create, delete, or modify a specified Registry key or value.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"SMOKEDHAM has modified registry keys for persistence, to enable credential caching for credential access, and to facilitate lateral movement via RDP.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,SOUNDBITE is capable of modifying the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"SUNBURST had commands that allow an attacker to write or delete registry keys, and was observed stopping services by setting their HKLM\SYSTEM\CurrentControlSet\services\",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,SynAck can manipulate Registry keys.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,SysUpdate can write its configuration file to Software\Classes\scConfig in either HKEY_LOCAL_MACHINE or HKEY_CURRENT_USER.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,TA505 has used malware to disable Windows Defender through modification of the Registry.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,TajMahal can set the KeepPrintedJobs attribute for configured printers in SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print\Printers to enable document stealing.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,"Tarrask is able to delete the Security Descriptor (SD) registry subkey in order to ""hide"" scheduled tasks.",T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,TEARDROP modified the Registry to create a Windows service for itself on a compromised host.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,ThreatNeedle can modify the Registry to save its configuration data as the following RC4-encrypted Registry key: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\GameCon.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Turla has modify Registry values to store payloads.,T1112
T1112,No sub-Techniques,Defense Evasion,Modify Registry,No sub-Technique,Windows,Uroburos can store configuration information in the Registry including the initialization vector and AES key needed to find and decrypt other Uroburos components.,T1112
